Sort: Position,Sort: Team,Sort: PTS,Sort: FG%,Sort: FT%,Sort: 3PM,Sort: REB,Sort: AST,Sort: STL,Sort: BLK,Sort: TO
C,SA  63,21.2  20,48.5  105,70.9  11,1.3  17,14.3  134,4.6  74,1.3  22,1.9  133,2.3  135
SG,TOR  64,23.0  82,42.5  9,85.3  146,3.3  129,6.3  23,5.3  100,1.8  101,0.6  34,3.2  36
SG,GS  65,23.5  97,45.7  62,80.8  100,2.9  86,6.8  53,5.5  108,1.9  126,0.5  15,3.2  17
C,GS  66,21.1  16,54.3  135,71.6  18,1.2  14,15.5  144,4.4  58,1.3  14,1.7  128,2.4  138
SG,CHI  67,22.9  78,44.3  32,82.8  125,3.5  140,6.4  27,5.2  96,1.8  99,0.5  20,2.2  49
PF,CLE  68,22.9  76,46.9  82,75.3  37,2.3  47,10.7  115,4.3  50,1.5  48,1.0  90,2.8  130
PF,MIL  69,22.8  71,48.4  103,76.0  46,2.3  43,10.7  114,4.1  38,1.4  33,1.2  104,2.1  126
SG,CLE  70,22.9  77,44.0  25,83.6  134,3.4  135,6.5  37,5.2  98,1.8  100,0.5  21,2.8  53
SG,PHI  71,23.6  101,44.4  36,84.5  142,3.2  127,6.6  44,5.7  114,1.4  28,0.6  31,3.0  58
C,CHA  72,22.1  44,54.2  134,72.2  21,2.1  37,11.6  119,4.1  37,1.5  47,1.6  126,2.3  120
PF,DEN  73,22.9  72,48.9  109,71.0  13,2.2  40,10.0  98,4.5  68,1.6  62,1.2  101,2.1  123
PG,CHA  74,23.2  87,44.9  46,82.5  124,2.8  83,5.4  2,7.9  127,2.1  139,0.4  9,2.8  71
PG,CLE  75,24.6  131,44.0  24,78.8  74,3.5  138,5.9  10,8.8  142,1.9  125,0.4  5,3.5  39
PF,LAL  76,22.5  56,52.4  126,72.6  23,2.5  58,9.3  93,4.5  65,1.7  79,0.9  84,2.4  105
PF,BKN  77,23.6  103,52.8  130,74.7  34,1.9  33,10.3  105,4.3  49,1.4  30,1.2  107,2.7  99
C,MIA  78,21.6  34,55.6  144,75.5  41,1.2  12,15.7  148,3.9  25,1.3  12,1.9  134,2.6  140
PG,ORL  79,26.6  149,47.8  98,77.5  65,2.9  85,6.1  17,8.8  143,1.8  113,0.4  4,3.5  16
PF,DET  80,21.7  35,45.2  51,79.1  78,2.8  79,10.0  100,4.1  36,1.8  110,1.5  121,2.8  80
SF,HOU  81,22.3  50,45.2  53,83.4  132,2.6  63,6.9  56,4.1  33,2.1  142,0.6  52,2.3  110
PG,MIN  82,25.8  143,45.4  57,78.0  67,2.8  82,6.6  41,8.7  139,1.9  122,0.5  17,3.6  25
SG,MEM  83,23.5  96,44.7  43,76.7  55,3.5  142,6.4  30,5.5  110,1.8  106,0.7  62,2.8  51
C,ATL  84,21.7  36,53.3  131,73.7  28,1.0  5,15.7  147,4.0  26,1.4  40,2.0  139,3.0  145
PG,ATL  85,23.9  114,45.2  54,81.2  108,2.9  87,5.9  11,8.4  135,2.0  129,0.6  45,3.6  18
SF,DEN  86,23.8  110,45.2  52,79.6  84,3.0  97,7.7  71,4.8  87,1.5  51,0.8  71,2.0  78
SF,MIA  87,22.7  62,46.1  72,80.2  96,2.8  77,8.2  80,4.2  45,1.7  81,1.1  95,2.7  94
C,UTA  88,22.9  74,57.4  147,64.8  1,1.5  27,14.4  135,3.9  22,1.4  38,2.3  146,2.2  118
PF,ORL  89,22.8  66,51.7  120,77.6  66,2.4  49,10.5  108,3.4  7,1.5  44,1.5  116,2.7  132
PG,CHI  90,23.0  80,43.7  21,80.0  90,2.9  88,6.0  13,9.5  150,2.0  134,0.6  50,2.8  83
PF,DAL  91,23.7  105,47.4  93,76.8  57,2.3  42,10.2  103,3.9  18,1.6  67,1.2  102,2.5  125
PF,ATL  92,22.5  55,49.1  111,75.2  35,2.2  41,11.3  118,4.5  69,1.5  46,1.4  115,2.4  124
PG,NO  93,24.8  134,43.6  19,83.6  133,3.0  102,6.1  14,9.2  148,2.0  133,0.4  8,3.4  24
SG,LAL  94,23.8  111,45.0  48,83.1  128,3.4  137,6.5  34,6.1  119,1.7  84,0.3  1,2.7  55
SG,MIA  95,24.2  121,41.9  8,83.8  137,3.6  146,7.0  59,5.4  105,1.4  24,0.8  72,2.9  46
SG,CHA  96,22.2  46,44.1  30,83.7  135,2.9  90,6.7  48,5.8  115,1.8  107,0.7  63,2.1  85
PF,MIN  97,23.7  107,52.1  124,76.6  52,2.3  46,10.1  102,3.4  6,1.6  66,0.9  87,2.7  129
PG,MEM  98,24.5  129,44.5  37,79.3  79,3.3  130,6.8  52,8.2  132,1.7  87,0.6  41,3.5  37
PG,SA  99,23.6  102,44.9  45,81.1  107,3.0  98,6.5  35,7.3  123,1.9  117,0.5  18,3.0  79
SG,NY  100,24.2  122,45.1  49,83.3  130,3.5  139,6.2  20,4.8  88,1.8  95,0.6  35,2.4  48
SF,CLE  101,22.8  69,45.8  65,82.3  120,3.0  93,7.9  77,4.4  60,1.7  78,0.8  79,2.8  88
C,BKN  102,21.6  32,58.6  149,75.8  45,1.0  6,14.1  131,3.6  13,1.6  69,2.0  140,2.3  146
SF,IND  103,23.2  90,49.8  117,77.5  64,2.7  74,8.9  90,4.4  61,1.6  54,1.0  91,2.5  91
PG,GS  104,24.4  126,46.5  78,81.6  113,3.0  99,6.1  15,8.0  128,2.1  140,0.5  12,3.5  21
C,IND  105,23.7  106,55.6  143,71.2  15,1.0  4,15.6  145,4.4  59,1.0  2,1.5  118,2.7  144
PG,LAL  106,23.8  108,47.1  84,81.3  112,3.0  101,5.3  1,9.3  149,2.5  149,0.4  10,3.7  23
SG,NO  107,25.0  137,48.6  107,80.0  91,3.9  149,6.6  45,5.5  109,1.4  26,0.6  32,3.0  43
PF,MIA  108,23.1  84,47.3  91,74.0  31,2.3  45,11.7  120,4.3  51,1.7  80,1.2  109,3.0  128
C,POR  109,24.8  133,56.0  145,71.1  14,1.6  29,14.5  137,4.2  41,1.7  83,2.9  150,3.1  9
C,LAC  110,21.5  28,52.8  129,78.3  70,1.2  9,14.3  132,3.9  21,1.7  73,1.8  130,2.5  149
SF,PHI  111,23.2  88,46.1  73,80.9  103,2.8  80,8.4  83,5.4  104,1.6  60,0.8  70,2.7  81
SF,POR  112,22.1  42,44.6  40,80.3  97,2.6  60,8.5  84,4.9  92,2.4  145,0.9  82,2.7  107
PG,DEN  113,24.1  119,44.4  35,81.3  111,3.1  115,5.6  3,8.4  136,1.9  124,0.6  43,2.8  66
SG,POR  114,23.5  98,45.8  63,82.3  121,3.1  119,6.4  31,5.3  101,2.3  144,0.7  55,3.2  29
SG,BKN  115,23.1  83,46.0  69,79.8  86,3.2  122,6.8  55,6.0  117,1.9  118,0.7  57,2.9  60
SF,UTA  116,23.5  95,47.1  86,76.8  56,3.0  92,7.6  68,5.4  106,1.8  102,0.8  76,2.1  87
PG,LAC  117,24.4  127,44.0  23,80.8  102,3.4  133,6.2  19,8.2  131,2.2  143,0.6  53,3.1  38
PF,CHA  118,23.6  99,51.0  118,78.6  71,2.5  55,9.8  97,4.5  67,1.6  61,1.1  100,2.5  102
C,CHI  119,23.4  94,54.6  136,67.7  3,1.6  30,14.4  136,4.6  73,1.6  55,2.5  148,2.3  96
SG,WAS  120,23.8  109,44.4  34,82.0  117,3.6  144,6.4  32,5.8  116,2.0  130,0.6  46,2.7  47
PG,IND  121,25.8  142,47.0  83,82.4  123,2.4  52,6.7  47,8.6  138,2.1  137,0.6  48,3.1  6
PF,POR  122,22.8  68,47.3  92,77.2  60,2.4  51,9.6  95,4.2  43,1.8  111,1.6  122,2.7  134
SF,CHI  123,23.6  100,47.2  87,78.1  68,2.8  76,8.9  91,4.7  80,1.8  98,0.9  86,2.6  93
PF,SAC  124,24.1  118,49.2  114,79.8  87,2.2  39,10.2  104,4.5  64,1.4  35,1.1  98,2.3  122
PG,TOR  125,25.9  144,45.9  67,83.0  126,3.0  94,5.7  9,7.8  125,1.9  120,0.8  80,3.4  20
SF,LAL  126,26.1  146,47.9  99,80.4  99,3.1  114,7.2  63,4.0  32,1.8  112,0.7  59,2.6  65
PF,MEM  127,23.7  104,46.5  79,78.3  69,2.7  72,10.6  110,4.2  44,1.9  114,1.2  110,2.6  89
SG,LAC  128,23.3  93,47.2  89,82.0  119,3.6  148,6.8  54,5.4  107,1.8  103,0.6  37,2.6  45
SF,NO  129,24.1  116,47.6  97,77.3  62,3.3  132,7.8  72,4.7  84,1.7  92,0.9  85,2.1  57
C,NO  130,23.9  112,54.9  137,73.8  30,1.2  15,15.8  149,4.2  47,1.4  31,2.4  147,2.4  139
PF,WAS  131,24.4  124,49.6  115,72.3  22,2.1  38,12.3  122,4.6  72,1.8  97,1.1  97,2.6  121
SG,SAC  132,24.1  120,46.0  70,81.6  114,3.2  123,7.0  58,6.0  118,1.8  109,0.6  38,2.8  61
SF,BKN  133,23.3  92,49.0  110,80.9  104,2.9  89,7.4  66,4.5  70,1.9  116,0.9  81,1.9  84
PF,CHI  134,27.4  150,51.5  119,77.0  59,2.6  61,10.9  117,4.4  53,1.4  36,1.3  112,2.0  108
PF,UTA  135,25.9  145,49.2  113,75.5  39,2.8  78,10.6  111,5.3  103,1.7  86,1.6  123,3.1  19
C,DAL  136,24.1  115,55.3  140,68.0  5,1.3  18,15.2  143,4.4  57,1.6  64,2.1  142,2.6  136
SF,ATL  137,24.3  123,45.1  50,84.4  141,3.0  91,8.9  89,4.6  75,1.8  96,0.8  75,2.5  86
C,WAS  138,24.9  135,57.0  146,74.1  32,1.4  25,16.1  150,4.4  62,1.3  17,2.9  149,2.7  116
PG,POR  139,25.0  138,46.4  77,85.7  147,3.1  110,6.0  12,8.0  129,2.6  150,0.5  11,3.0  59
SG,DAL  140,25.0  136,46.7  80,78.8  75,3.0  96,7.8  74,5.6  113,2.1  136,0.6  47,2.3  77
PG,MIA  141,24.5  128,43.3  15,86.0  149,3.2  121,7.0  57,9.0  147,2.0  132,0.7  56,3.7  31
PG,WAS  142,25.2  140,44.1  28,84.2  138,3.1  118,6.6  46,8.8  144,2.4  148,0.6  51,3.1  28
SF,MEM  143,24.1  117,47.1  85,84.3  139,3.1  112,7.8  73,4.7  85,1.7  93,0.8  74,2.6  63
PG,MIL  144,26.3  148,45.4  56,83.3  131,3.4  136,6.5  40,9.0  146,2.1  135,0.5  14,3.0  54
SG,UTA  145,26.2  147,45.8  64,81.2  109,3.9  150,6.7  49,6.7  120,1.8  108,0.8  77,2.4  44
SG,ATL  146,24.7  132,48.0  101,83.0  127,3.5  143,7.2  62,5.3  102,1.9  119,0.7  58,3.2  40
PG,SAC  147,24.6  130,48.5  106,85.2  145,3.0  95,5.6  4,8.8  141,2.1  138,0.6  49,2.9  76
C,SAC  148,25.2  139,59.2  150,68.8  7,1.2  8,15.7  146,4.2  46,1.9  115,2.2  143,2.7  148
SF,WAS  149,24.4  125,47.3  90,82.4  122,3.3  131,8.8  88,4.7  79,2.1  141,0.9  83,2.0  56
PG,UTA  150,25.7  141,47.4  94,85.9  148,3.6  145,6.4  33,8.3  133,2.4  146,0.6  54,3.2  41
